Main Office,205,976,269,1136
Library,309,955,626,1211
SAC Office,676,925,869,956
6 Science,707,1014,868,1124
8 Science,703,1167,868,1347
9 Science,936,1169,1069,1293
11 Science,936,1040,1069,1117
Chapel,118,724,347,879
Staff Office,169,548,383,722
Guidance,31,356,175,542
86,224,269,386,403
85,29,246,175,351
84,208,87,296,218
82,333,87,420,217
76 Art,594,178,802,320
70 Stage,670,492,801,706
Cafeteria,479,446,665,842
64B Band Room,946,88,1109,226
64A Keyboard Room,981,229,1109,380
62 Computer Lab,1112,176,1283,350
Custodial Area,1405,174,1583,351
66 Hair & Aesthetics,917,458,1058,579
69 Hospitality,917,638,1058,738
63 Art,1183,459,1359,533
61,1362,459,1583,534
58 Computer Lab,1587,459,1729,547
56 Computer Lab,1587,550,1729,655
54 Computer Lab,1587,658,1729,772
Courtyard,1062,538,1584,679
16,1062,684,1221,809
20,1225,684,1350,809
22,1353,684,1500,809
19 Special Ed,1128,870,1262,988
21 Special Ed,1266,870,1417,988
23 Special Ed,1421,870,1583,988
30,1592,1088,1738,1158
31,1592,1163,1738,1229
32,1592,1234,1738,1288
57 Auto Shop,1896,176,2067,467
48 Wood Shop,2142,176,2317,467
59 Integrated Tech,1896,471,2037,567
55 Computer Engineering,1896,571,2037,659
53 Lecture Hall,1896,662,2037,767
52,2042,471,2142,767
49 Comm. Tech,2146,471,2316,692
Athletics Office,2195,696,2317,767
47,2396,293,2507,413
45,2396,463,2507,579
44,2396,583,2507,713
Weight Room,2396,717,2508,763
Change Room,1896,871,2316,987
Gym 35A,1896,1033,2037,1259
Gym 35B,2014,1033,2213,1259
Gym 35C,2215,1033,2422,1259
Fitness Room,2374,875,2508,967
Change Room,2375,971,2508,1029
107,2425,1033,2600,1117
106,2425,1121,2600,1204
100,2575,662,2700,763
101,2704,662,2860,763
Storage,2771,767,2937,833
103,2771,838,2937,929
104,2771,934,2937,1038
105,2771,1042,2937,1142
P4,2616,28,2729,150
P5,2737,28,2850,150
P6,2858,28,2971,150
P7,2616,200,2729,321
P8,2737,200,2850,321
P9,2858,200,2971,321
120,2566,1308,2692,1409
121,2696,1308,2851,1409
Staff Workroom,2762,1412,2928,1479
123,2762,1483,2928,1575
124,2762,1579,2928,1683
125,2762,1687,2928,1788
126,2412,1765,2592,1850
127,2412,1683,2562,1763
